time,frequency,offset,CrepeFreq,CrepeConf,freq_ratio,in_tune
3462.68463,500.85968,0,137.32824696425223,0.25987473,3.647171583937704,False
3482.6846100000002,497.5406,0,155.35427197909618,0.3801486,3.2026193657999116,False
3502.68459,486.746857,0,154.6656729067426,0.27628538,3.1470904167176736,False
3522.68457,484.322,0,162.99708172431323,0.09240785,2.9713538112244424,False
3542.68456,487.136017,0,167.09718578573563,0.10701647,2.9152855849089034,False
3562.6845399999997,491.9566,0,183.46843629886007,0.12934718,2.681423627542285,False
3582.68452,497.027832,0,183.93194895218033,0.1800777,2.702237620116884,False
3602.6845,502.002655,0,219.47320790331315,0.020197855,2.2873072289586824,False
3622.6844800000003,501.601868,0,270.891705243426,0.051590312,1.8516693508546362,False
3642.68446,500.375519,0,316.7132686461678,0.26440063,1.5799007131558473,False
3662.68444,499.284454,0,391.12844795756746,0.18672848,1.276522985242347,False
3682.68442,498.106934,0,458.4864526456528,0.18354546,1.0864158169248426,False
3702.6844,496.157135,0,497.5639203834638,0.74088824,0.997172653952924,False
3722.68438,494.7946,0,504.57167150736086,0.87545574,0.9806230272933223,True
3742.68436,493.92,0,505.27248866238523,0.9401168,0.9775319477764586,True
3762.68435,493.718384,0,502.05017065251667,0.9501998,0.9834044740156391,True
3782.68433,493.855347,0,498.1588180362141,0.94405377,0.9913612468947579,True
3802.68431,494.7332,0,492.1603651097533,0.92383,1.005227635284432,True
3822.68429,495.4042,0,485.38130008872594,0.9132886,1.0206495386399144,True
3842.6842699999997,496.357574,0,484.1931738097745,0.94304067,1.0251230311541,True
3862.6842500000002,497.342072,0,487.75687061292683,0.88918626,1.01965159686019,True
3882.6842300000003,498.478119,0,493.6331308025225,0.95175266,1.0098149574960675,True
3902.68421,496.883148,0,498.2125621137542,0.947198,0.997331632690846,True
3922.68419,494.405,0,502.05631283359344,0.9553143,0.9847600505401284,True
3942.68417,493.863129,0,501.6585298860045,0.95194316,0.9844607428726949,True
3962.68415,494.536438,0,499.9019434525741,0.94294524,0.989266884190293,True
3982.68414,496.6073,0,498.6504092870493,0.936589,0.9959027221295769,True
4002.684,501.0139,0,497.20881829371564,0.964417,1.0076528845955355,True
4022.6839999999997,501.748749,0,495.8252925894926,0.9723903,1.0119466604447942,True
4042.684,502.682,0,494.51065647227296,0.9729115,1.0165240999779854,True
4062.6839999999997,504.332275,0,494.1055053206303,0.9672762,1.0206975424666305,True
4082.684,504.8157,0,494.25308006606394,0.9606264,1.0213708732629936,True
4102.684,505.059235,0,494.5388968747281,0.96743596,1.0212730246129391,True
4122.683999999999,505.708221,0,494.86341118769064,0.9758893,1.0219147537828295,True
4142.684,505.415344,0,495.46074954206097,0.97555155,1.0200915904380716,True
4162.683999999999,503.882721,0,496.7468140005459,0.969245,1.0143652798535034,True
4182.684,502.391022,0,498.03903704597406,0.9469892,1.0087382406404104,True
4202.683999999999,500.21463,0,497.92034555395685,0.9529083,1.004607733880588,True
4222.684,500.2533,0,495.9018623601225,0.9720266,1.008774795922661,True
4242.683999999999,500.749847,0,494.7555575092864,0.97306424,1.012115658732345,True
4262.684,501.361725,0,494.058788138878,0.96984327,1.0147815139340648,True
4282.683999999999,501.73053,0,494.82213652012206,0.9721183,1.0139613670650667,True
4302.684,501.347351,0,497.53849914255954,0.9530983,1.00765539121898,True
4322.684,499.918884,0,499.94312191916316,0.9429188,0.999951518646621,True
4342.684,499.703827,0,501.3536855093679,0.9526705,0.996709192418339,True
4362.684,499.6896,0,503.28073033172785,0.9374948,0.9928645582568583,True
4382.68375,500.1403,0,505.16592826726014,0.9342404,0.9900515296340388,True
4402.68373,500.7988,0,505.50988639894683,0.93405104,0.9906805256915809,True
4422.68372,502.4458,0,505.5281842959817,0.9425075,0.9939026460012821,True
4442.6837,504.477173,0,506.01846415301566,0.94127387,0.996954081200188,True
4462.683679999999,505.37088,0,505.3568978863555,0.9366027,1.000027667800129,True
4482.683660000001,504.322784,0,503.01910651937646,0.95211464,1.002591705690156,True
4502.68364,500.73584,0,501.76997933721225,0.95458204,0.9979390171198002,True
4522.68362,499.216583,0,501.06618903484593,0.9480169,0.9963086592643406,True
4542.6836,498.342438,0,501.2946690470353,0.9463856,0.9941107870693149,True
4562.68358,497.626,0,501.9794165781778,0.94561464,0.9913274998248861,True
4582.68356,497.812836,0,502.2846592258768,0.9420532,0.991097034034906,True
4602.68354,498.344269,0,502.0362708449627,0.941093,0.9926459460015732,True
4622.683529999999,497.4991,0,501.3474617767003,0.94194037,0.9923239627801,True
4642.683510000001,497.2719,0,500.24912699891127,0.93375987,0.9940485113551878,True
4662.68349,497.88858,0,499.74708737307026,0.92909825,0.9962811041424182,True
4682.68347,497.742767,0,499.8482716623641,0.93186235,0.9957877124284901,True
4702.68345,497.2261,0,500.1127708789528,0.93753064,0.994227960078125,True
4722.68343,497.798,0,500.7331127997119,0.9446016,0.9941383688741873,True
4742.68341,497.257355,0,502.7842949601523,0.9441322,0.9890073337302823,True
4762.68339,496.782227,0,505.40490693260716,0.9342352,0.9829390656593744,True
4782.68337,497.1304,0,505.3130565934387,0.93023336,0.9838067580351041,True
4802.683349999999,497.149017,0,503.30340688495374,0.93462324,0.9877720082940735,True
4822.68333,497.189148,0,500.88998914467425,0.9428578,0.9926114691351811,True
4842.68332,497.6603,0,498.920894566907,0.9222852,0.9974733578396205,True
4862.6833,498.5257,0,498.02793119203267,0.95016116,1.0009994797014214,True
4882.68328,499.227,0,497.45129318036896,0.9618845,1.0035696094149809,True
